section,item_type,group,company,project,period,title,description,image_url,card_style,order,visible,note
career,timeline,연혁 및 주요 이력,,,2025.07 - 현재,아티브사운드 (ARTIVE SOUND),"시프트업, 네오플, 크래프톤, 카밤 등 메이저 게임 개발사의 프로젝트 BGM & SFX 제작.",,,1,TRUE,
career,timeline,연혁 및 주요 이력,,,2024.01 - 2025.06,프리랜서 게임 사운드 디자이너,"게임 BGM & SFX 제작 (강원랜드 슬롯게임, 인디게임 10개 등) / Melon Music Award 2023 아이브(IVE) 음원 제작",,,2,TRUE,
career,timeline,연혁 및 주요 이력,,,2021.01 - 2022.07,더 리와인드 필름 (The Rewind Film),"영상 사운드 엔지니어 (삼성, 이마트, IKEA, Taylor Made 등 글로벌 브랜드 영상 사운드 담당)",,,3,TRUE,
career,timeline,연혁 및 주요 이력,,,2018.02 - 2020.12,초기 활동 및 학력,동아방송예술대 실용음악 작곡 전공 / 네이버 그라폴리오 창작지원 수상,,,4,TRUE,
career,project,참여 게임 프로젝트,Krafton,PUBG: BATTLEGROUNDS,,PUBG: BATTLEGROUNDS,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg,,1,TRUE,
career,project,참여 게임 프로젝트,Shift Up,Goddess of Victory: NIKKE,,Goddess of Victory: NIKKE,,img/Nikke_Black.jpg,,2,TRUE,
career,project,참여 게임 프로젝트,Neople,Dungeon & Fighter Mobile,,Dungeon & Fighter Mobile,,https://i.ytimg.com/vi/swEIqcStDFg/maxresdefault.jpg,,3,TRUE,
career,project,참여 게임 프로젝트,Kabam,King Arthur: Legends Rise,,King Arthur: Legends Rise,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2279730/capsule_616x353.jpg,,4,TRUE,
career,project,참여 게임 프로젝트,,STARDUST: Wish of Witch,,STARDUST: Wish of Witch,,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3936730/00ae9ab26a9331a0b7e4d033c569c435c8ed2f8c/header.jpg?t=1775138520,,5,TRUE,
career,project,참여 게임 프로젝트,,Forge of the Fae,,Forge of the Fae,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2160070/header.jpg,,6,TRUE,
career,project,참여 게임 프로젝트,Krafton,Waltz and Jam,,Waltz and Jam,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2686570/header.jpg,,7,TRUE,
career,project,참여 게임 프로젝트,,Halchemist,,Halchemist,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2571730/header.jpg,,8,TRUE,
career,project,참여 게임 프로젝트,,Deadly Trick,,Deadly Trick,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3088400/header.jpg,,9,TRUE,
career,project,참여 게임 프로젝트,,Kona & SnowRabbit,,Kona & SnowRabbit,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2726560/header.jpg,,10,TRUE,
career,project,참여 게임 프로젝트,Elif Games,My Unusual Streamer,,나의 별난 스트리머,,img/my_unusual_streamer.png,contain-white,11,TRUE,
career,project,참여 게임 프로젝트,,Contract X Romance,,계약 x 연애,,https://d2x8kymwjom7h7.cloudfront.net/live/member_no/161075625/application_no/119001/images/Normal169_1753336382704.png,,12,TRUE,
career,project,참여 게임 프로젝트,,HELLAXY,,HELLAXY,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2918630/header.jpg,,13,TRUE,
career,project,참여 게임 프로젝트,,Maid Survivors: Little Angels,,Maid Survivors: Little Angels,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2771600/header.jpg,,14,TRUE,
career,project,참여 게임 프로젝트,,Alone In a Dream,,Alone In a Dream,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1546620/header.jpg,,15,TRUE,
career,project,참여 게임 프로젝트,,Re Dive Wonderland,,Re Dive Wonderland,,img/re_dive_wonderland.jpg,,16,TRUE,
career,project,참여 게임 프로젝트,,JIPOIZ,,JIPOIZ,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2632840/header.jpg,,17,TRUE,
career,project,참여 게임 프로젝트,,NOMANUAL,,NOMANUAL,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3315750/header.jpg,,18,TRUE,
career,project,참여 게임 프로젝트,,Wonder Library,,Wonder Library,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1905800/header.jpg,,19,TRUE,
career,project,참여 게임 프로젝트,Super Keedle,Raising a Sorceress,,요술사 키우기,,https://i.ytimg.com/vi/FZeb5tcQLCo/hqdefault.jpg,,20,TRUE,